name,trade_name,cvm_code,about,b3_issuer_code,website,main_activity
Banco Bradesco S.A.,Banco Bradesco,906,"O Bradesco é um dos maiores bancos do Brasil, com uma história de mais de 75 anos de atuação no mercado financeiro. Com uma ampla rede de atendimento, o banco está presente em todos os municípios do país, oferecendo uma ampla gama de serviços financeiros, desde contas correntes e empréstimos até investimentos e seguros. Reconhecido como uma das marcas mais valiosas do Brasil, o Bradesco é uma referência no setor financeiro, com uma atuação pautada pela inovação, qualidade e excelência no atendimento ao cliente.",BBDC,https://www.bradescori.com.br,Prática de Operações Bancárias em Geral. Inclusive Câmbio
Banco Alfa de Investimento S.A.,Alfa Investimento,1384,,BRIV,http://www.alfanet.com.br,Operações Permitidas à Sociedade Da Espécie em Lei. Atividades de Administração de Carteira de Valores Mobiliários. Consultoria de Valores Mobiliários E Operações de Câmbio.
Companhia Siderúrgica Nacional,Siderúrgica Nacional,4030,"A Companhia Siderúrgica Nacional (CSN) é uma das maiores indústrias siderúrgicas do mundo, com uma produção anual de mais de 6 milhões de toneladas de aço bruto e 5 milhões de toneladas de laminados. Sua usina, localizada em Volta Redonda, no Rio de Janeiro, é responsável por grande parte da produção, e a empresa também possui minas de minério de ferro e carvão em outras regiões do Brasil. Fundada em 1946, a CSN foi privatizada em 1993 e atualmente possui diversas empresas em diferentes setores, como cimentos, aços longos e mineração.",CSNA,https://ri.csn.com.br,A Companhia Siderúrgica Nacional Atua Nos Setores de Mineração. Siderurgia. Logística. Cimento E Energia.
Braskem S.A.,Braskem,4820,"A Braskem é uma empresa petroquímica global que se dedica a criar soluções sustentáveis a partir da química e do plástico. Com uma posição de liderança na produção de resinas termoplásticas e biopolímeros em escala industrial, a empresa conta com quarenta unidades industriais em onze países, além de escritórios comerciais e centros de inovação. Seus principais produtos incluem resinas polietileno, polipropileno, policloreto de vinila, além de eteno, propeno, butadieno, benzeno, tolueno, cloro, soda e solvente. A Braskem é uma empresa comprometida com a sustentabilidade e a inovação, buscando soluções que possam contribuir para um futuro mais sustentável.",BRKM,https://www.braskem-ri.com.br,Produção de Produtos Químicos. Utilidades. Energia Elétrica E Outros;prestação de Serviços Industriais;participação em Outras Sociedades;locação de Bens; Representação/consignação de Produtos Químicos
Lojas Americanas S.A.,Lojas Americanas,8087,"A Americanas é uma empresa brasileira de varejo que foi fundada em 1929 em Niterói, no Rio de Janeiro. A empresa foi criada pelos americanos John Lee, Glen Matson, James Marshall e Batson Borger, juntamente com o brasileiro Max Landesman. A ideia era oferecer uma loja com preços baixos e variedade de produtos para atender à população com renda modesta. A empresa cresceu rapidamente e, em 1940, tornou-se uma sociedade anônima. Nos anos 80, a Americanas passou a ser controlada pelos empresários Jorge Paulo Lemann, Marcel Telles e Carlos Alberto Sicupira. Atualmente, a empresa é uma das maiores varejistas do país, com quatro centros de distribuição e diversas plataformas de e-commerce, como Americanas.com, Shoptime e Submarino. Em 2023, a empresa ingressou com pedido de recuperação judicial citando dívidas superiores a R$40 bilhões.",LAME,http://ri.lasa.com.br,Comércio em Geral. Inclusive Supermercado E Lanchonete. Lojas de Conveniência. No Varejo E No Atacado. Através de Lojas E Depósitos. de Quaisquer Mercadorias. Bem Como A Realização de Serviços.
Cosan S.A.,Cosan,19836,"A Cosan S.A. é uma empresa brasileira com uma ampla atuação em diversos setores, como açúcar, álcool, energia, lubrificantes e logística. Com uma história que remonta aos anos 1930, a empresa é uma das maiores produtoras de açúcar e álcool do mundo, além de atuar em outras áreas como a distribuição de gás canalizado e a produção de lubrificantes. Com uma presença forte no mercado brasileiro e uma atuação internacional, a Cosan é uma empresa de destaque no cenário empresarial brasileiro.",CSAN,https://www.cosan.com.br,Produção de Açúcar. Etanol E Cogeração de Energia. Distribuição de Combustíveis.produção E Distribuição de Lubrificantes.tranporte E Carregamento de Açúcar. Operador de Terras E Distribuição de Gás.
Vale S.A.,Vale,4170,"A Vale S.A. é uma das maiores empresas de mineração do mundo, com uma ampla gama de produtos, incluindo minério de ferro, pelotas, níquel, manganês, ferroliga, cobre, bauxita, potássio, caulim, alumina e alumínio. Além disso, a empresa é uma das maiores operadoras de logística do Brasil, com uma extensa malha ferroviária e nove terminais portuários próprios. A Vale é uma empresa privada, de capital aberto, com ações negociadas em várias bolsas de valores, incluindo a B3, a Bolsa de Valores de Madrid e a Bolsa de Valores de Nova York. A empresa é uma das maiores empregadoras do Brasil e tem uma presença significativa em vários países ao redor do mundo.",VALE,https://www.vale.com/pt/investidores,Mineração
Suzano Holding S.A.,Suzano Hold,9067,,NEMO,http://www.suzano.com.br,Sociedade Holding - Participação Como Acionista Ou Quotista No Capital Social de Outras Sociedades
Suzano S.A.,Suzano,13986,"A Suzano Papel e Celulose é uma empresa brasileira líder mundial no mercado de papel e a maior produtora global de celulose de eucalipto. Com sede em Salvador e São Paulo, a empresa possui operações em cerca de 60 países e é dividida em três unidades de negócio: Florestal, Celulose e Papel. Com cerca de 16 mil funcionários próprios e 20 mil terceiros, a Suzano possui unidades industriais em diversos estados brasileiros e é proprietária da SPP-KSR, a maior empresa distribuidora de produtos gráficos e papéis da América do Sul. Fundada em 1924 pelo imigrante ucraniano Leon Feffer, a história da Suzano está interligada com a própria industrialização brasileira do século XX. Em 2018, a empresa anunciou a fusão com a Fibria, até então a maior produtora de celulose do mundo.",SUZB,https://ri.suzano.com.br,Indústria E Comércio de Papel E Celulose
Suzano S.A.,Suzano,13986,"A Suzano Papel e Celulose é uma empresa brasileira líder mundial no mercado de papel e a maior produtora global de celulose de eucalipto. Com sede em Salvador e São Paulo, a empresa possui operações em cerca de 60 países e é dividida em três unidades de negócio: Florestal, Celulose e Papel. Com cerca de 16 mil funcionários próprios e 20 mil terceiros, a Suzano possui unidades industriais em diversos estados brasileiros e é proprietária da SPP-KSR, a maior empresa distribuidora de produtos gráficos e papéis da América do Sul. Fundada em 1924 pelo imigrante ucraniano Leon Feffer, a história da Suzano está interligada com a própria industrialização brasileira do século XX. Em 2018, a empresa anunciou a fusão com a Fibria, até então a maior produtora de celulose do mundo.",SUZB,https://ri.suzano.com.br,Indústria E Comércio de Papel E Celulose
